iter	Passed	Remaining
160	892	4651
161	898	4649
162	903	4639
163	908	4630
164	913	4624
165	918	4614
166	923	4605
167	928	4596
168	932	4586
169	937	4576
170	942	4567
171	948	4565
172	953	4557
173	958	4551
174	963	4541
175	968	4532
176	972	4522
177	978	4516
178	983	4510
179	988	4502
180	992	4492
181	997	4483
182	1002	4474
183	1006	4465
184	1012	4458
185	1016	4450
186	1021	4441
187	1026	4432
188	1030	4422
189	1035	4414
190	1041	4410
191	1047	4407
192	1052	4398
193	1056	4390
194	1061	4381
195	1066	4373
196	1071	4365
197	1076	4359
198	1080	4350
199	1085	4341
200	1090	4334
201	1095	4326
202	1099	4317
203	1104	4309
204	1109	4303
205	1114	4297
206	1120	4291
207	1125	4285
208	1130	4277
209	1134	4268
210	1139	4260
211	1145	4259
212	1150	4251
213	1155	4243
214	1160	4236
215	1165	4228
216	1169	4221
217	1174	4213
218	1179	4206
219	1184	4198
220	1188	4190
221	1193	4181
222	1197	4173
223	1203	4167
224	1208	4163
225	1213	4156
226	1218	4150
227	1223	4142
228	1228	4135
229	1233	4128
230	1237	4120
231	1243	4115
232	1248	4108
233	1252	4101
234	1257	4093
235	1262	4086
236	1266	4078
237	1271	4071
238	1276	4065
239	1281	4058
240	1287	4053
241	1291	4046
242	1296	4038
243	1301	4031
244	1306	4025
245	1311	4018
246	1316	4012
247	1320	4005
248	1325	3998
249	1330	3992
250	1335	3984
251	1340	3979
252	1345	3971
253	1349	3964
254	1354	3957
255	1359	3949
256	1363	3942
257	1368	3935
258	1374	3931
259	1379	3926
260	1384	3919
261	1389	3913
262	1393	3905
263	1398	3897
264	1402	3891
265	1407	3884
266	1412	3878
267	1417	3871
268	1421	3863
269	1426	3855
270	1430	3849
271	1435	3841
272	1440	3836
273	1445	3829
274	1450	3823
275	1456	3820
276	1461	3813
277	1466	3807
278	1471	3803
279	1477	3798
280	1481	3791
281	1486	3785
282	1491	3778
283	1496	3771
284	1500	3765
285	1506	3760
286	1511	3754
287	1515	3747
288	1520	3740
289	1524	3733
290	1529	3726
291	1534	3721
292	1539	3715
293	1544	3708
294	1548	3701
295	1553	3694
296	1558	3688
297	1562	3681
298	1567	3675
299	1572	3669
300	1577	3662
301	1581	3655
302	1586	3649
303	1591	3642
304	1595	3636
305	1600	3630
306	1605	3624
307	1610	3619
308	1615	3613
309	1620	3606
310	1624	3599
311	1629	3592
312	1634	3587
313	1639	3582
314	1644	3575
315	1649	3569
316	1653	3563
317	1658	3556
318	1662	3549
319	1667	3543
320	1672	3537
321	1678	3534
322	1683	3527
323	1687	3521
324	1692	3514
325	1696	3508
326	1702	3504
327	1707	3498
328	1712	3492
329	1716	3485
330	1721	3479
331	1725	3472
332	1730	3466
333	1736	3462
334	1741	3456
335	1745	3450
336	1750	3443
337	1754	3436
338	1759	3430
339	1764	3424
340	1768	3418
341	1773	3412
342	1778	3407
343	1783	3400
344	1788	3394
345	1792	3388
346	1797	3382
347	1802	3376
348	1806	3370
349	1811	3364
350	1816	3358
351	1820	3351
352	1825	3345
353	1829	3338
354	1834	3332
355	1839	3326
356	1844	3321
357	1850	3317
358	1855	3312
359	1860	3307
360	1865	3302
361	1870	3297
362	1875	3291
363	1880	3285
364	1885	3279
365	1889	3273
366	1894	3267
367	1899	3261
368	1904	3256
369	1908	3250
370	1913	3244
371	1918	3238
372	1922	3231
373	1927	3225
374	1932	3221
375	1937	3215
376	1942	3209
377	1947	3204
378	1952	3199
379	1958	3194
380	1963	3190
381	1969	3185
382	1974	3180
383	1979	3175
384	1984	3170
385	1990	3166
386	1996	3162
387	2002	3158
388	2008	3154
389	2013	3149
390	2019	3144
391	2024	3139
392	2030	3136
393	2035	3130
394	2040	3125
395	2045	3120
396	2050	3114
397	2055	3109
398	2060	3104
399	2066	3099
400	2072	3095
401	2077	3090
402	2082	3085
403	2087	3080
404	2092	3074
405	2097	3069
406	2103	3064
407	2108	3059
408	2113	3054
409	2118	3049
410	2124	3045
411	2140	3054
412	2145	3049
413	2150	3044
414	2155	3038
415	2160	3032
416	2165	3028
417	2171	3023
418	2175	3017
419	2180	3011
420	2185	3005
421	2189	2999
422	2194	2993
423	2200	2989
424	2204	2982
425	2209	2977
426	2214	2971
427	2219	2965
428	2223	2959
429	2228	2953
430	2233	2948
431	2237	2942
432	2242	2936
433	2247	2931
434	2252	2925
435	2256	2919
436	2261	2913
437	2266	2907
438	2270	2901
439	2275	2895
440	2280	2890
441	2284	2884
442	2290	2879
443	2294	2873
444	2299	2867
445	2304	2861
446	2308	2856
447	2313	2850
448	2318	2844
449	2322	2838
450	2327	2833
451	2331	2827
452	2336	2821
453	2341	2815
454	2345	2809
455	2350	2803
456	2354	2797
457	2359	2791
458	2363	2786
459	2368	2780
460	2373	2774
461	2377	2768
462	2382	2763
463	2387	2757
464	2391	2751
465	2396	2746
466	2401	2740
467	2405	2734
468	2409	2728
469	2414	2722
470	2418	2716
471	2423	2711
472	2428	2705
473	2433	2700
474	2438	2695
475	2443	2690
476	2448	2684
477	2452	2678
478	2457	2672
479	2462	2667
480	2466	2661
481	2472	2657
482	2479	2653
483	2484	2648
484	2492	2646
485	2497	2641
486	2501	2635
487	2506	2629
488	2511	2624
489	2516	2618
490	2520	2613
491	2525	2607
492	2530	2602
493	2535	2597
494	2540	2591
495	2544	2585
496	2549	2579
497	2553	2574
498	2558	2568
499	2562	2562
500	2567	2557
501	2572	2551
502	2576	2546
503	2581	2540
504	2585	2534
505	2590	2528
506	2595	2523
507	2600	2519
508	2605	2513
509	2612	2509
510	2617	2505
511	2623	2500
512	2628	2495
513	2633	2489
514	2638	2485
515	2643	2479
516	2648	2474
517	2653	2469
518	2659	2465
519	2664	2459
520	2669	2454
521	2673	2448
522	2678	2443
523	2683	2437
524	2688	2432
525	2694	2427
526	2699	2423
527	2705	2418
528	2710	2413
529	2715	2408
530	2722	2404
531	2728	2400
532	2733	2394
533	2739	2390
534	2743	2384
535	2748	2379
536	2753	2374
537	2758	2369
538	2764	2364
539	2769	2358
540	2773	2353
541	2778	2347
542	2783	2342
543	2788	2337
544	2793	2331
545	2797	2326
546	2802	2320
547	2806	2315
548	2811	2309
549	2816	2304
550	2821	2299
551	2826	2294
552	2831	2288
553	2835	2282
554	2840	2277
555	2845	2271
556	2849	2266
557	2854	2261
558	2860	2256
559	2865	2251
560	2870	2246
561	2875	2240
562	2879	2235
563	2884	2229
564	2889	2224
565	2894	2219
566	2899	2214
567	2904	2208
568	2909	2203
569	2913	2198
570	2918	2192
571	2923	2187
572	2928	2182
573	2933	2176
574	2938	2172
575	2943	2166
576	2947	2161
577	2952	2155
578	2957	2150
579	2962	2145
580	2967	2140
581	2972	2134
582	2977	2129
583	2982	2124
584	2987	2119
585	2992	2113
586	2997	2108
587	3001	2103
588	3005	2097
589	3010	2092
590	3015	2086
591	3020	2081
592	3026	2076
593	3030	2071
594	3035	2066
595	3039	2060
596	3044	2055
597	3049	2049
598	3054	2044
599	3059	2039
600	3064	2034
601	3069	2029
602	3074	2024
603	3080	2019
604	3087	2015
605	3092	2010
606	3097	2005
607	3102	2000
608	3107	1995
609	3112	1990
610	3118	1985
611	3123	1980
612	3128	1974
613	3133	1969
614	3139	1965
615	3143	1959
616	3149	1954
617	3153	1949
618	3158	1944
619	3164	1939
620	3169	1934
621	3173	1928
622	3178	1923
623	3183	1918
624	3188	1913
625	3193	1908
626	3198	1902
627	3203	1897
628	3208	1892
629	3213	1887
630	3219	1882
631	3224	1877
632	3229	1872
633	3234	1867
634	3239	1862
635	3244	1856
636	3249	1851
637	3254	1846
638	3259	1841
639	3264	1836
640	3269	1831
641	3274	1826
642	3280	1821
643	3286	1816
644	3293	1812
645	3298	1807
646	3303	1802
647	3308	1797
648	3313	1792
649	3318	1786
650	3323	1781
651	3328	1776
652	3333	1771
653	3338	1766
654	3343	1761
655	3348	1756
656	3354	1751
657	3359	1746
658	3364	1741
659	3370	1736
660	3375	1730
661	3380	1726
662	3385	1720
663	3390	1715
664	3395	1710
665	3400	1705
666	3405	1700
667	3410	1695
668	3415	1690
669	3421	1685
670	3426	1679
671	3430	1674
672	3435	1669
673	3439	1663
674	3445	1658
675	3449	1653
676	3454	1648
677	3460	1643
678	3465	1638
679	3469	1632
680	3475	1627
681	3481	1623
682	3485	1617
683	3492	1613
684	3498	1608
685	3503	1603
686	3508	1598
687	3513	1593
688	3519	1588
689	3524	1583
690	3528	1578
691	3534	1573
692	3539	1567
693	3544	1562
694	3549	1557
695	3554	1552
696	3559	1547
697	3564	1542
698	3569	1537
699	3574	1532
700	3580	1527
701	3584	1521
702	3589	1516
703	3594	1511
704	3599	1506
705	3604	1501
706	3610	1496
707	3614	1490
708	3619	1485
709	3624	1480
710	3629	1475
711	3633	1469
712	3638	1464
713	3644	1459
714	3648	1454
715	3653	1449
716	3658	1443
717	3663	1438
718	3668	1433
719	3673	1428
720	3677	1423
721	3682	1417
722	3687	1412
723	3691	1407
724	3696	1402
725	3701	1397
726	3707	1392
727	3712	1386
728	3717	1381
729	3721	1376
730	3726	1371
731	3732	1366
732	3738	1361
733	3744	1357
734	3750	1352
735	3758	1348
736	3766	1343
737	3774	1340
738	3787	1337
739	3795	1333
740	3802	1329
741	3809	1324
742	3816	1320
743	3823	1315
744	3832	1311
745	3837	1306
746	3842	1301
747	3847	1296
748	3852	1290
749	3856	1285
750	3861	1280
751	3866	1274
752	3870	1269
753	3875	1264
754	3880	1259
755	3885	1254
756	3890	1248
757	3895	1243
758	3899	1238
759	3904	1232
760	3908	1227
761	3913	1222
762	3917	1216
763	3922	1211
764	3927	1206
765	3931	1201
766	3936	1195
767	3940	1190
768	3944	1184
769	3949	1179
770	3953	1174
771	3957	1168
772	3962	1163
773	3967	1158
774	3971	1153
775	3976	1147
776	3980	1142
777	3985	1137
778	3989	1131
779	3994	1126
780	3998	1121
781	4003	1116
782	4007	1110
783	4012	1105
784	4017	1100
785	4022	1095
786	4028	1090
787	4032	1085
788	4037	1079
789	4041	1074
790	4046	1069
791	4051	1064
792	4055	1058
793	4059	1053
794	4069	1049
795	4074	1044
796	4080	1039
797	4085	1034
798	4089	1028
799	4095	1023
800	4100	1018
801	4104	1013
802	4110	1008
803	4115	1003
804	4120	998
805	4125	993
806	4130	987
807	4135	982
808	4140	977
809	4145	972
810	4150	967
811	4155	962
812	4161	957
813	4166	952
814	4171	946
815	4177	941
816	4181	936
817	4187	931
818	4192	926
819	4197	921
820	4202	916
821	4208	911
822	4213	906
823	4218	900
824	4223	895
825	4228	890
826	4234	885
827	4239	880
828	4243	875
829	4248	870
830	4253	864
831	4259	860
832	4264	854
833	4268	849
834	4273	844
835	4281	839
836	4285	834
837	4290	829
838	4294	824
839	4299	818
840	4303	813
841	4308	808
842	4312	803
843	4317	797
844	4321	792
845	4326	787
846	4330	782
847	4335	777
848	4339	771
849	4344	766
850	4349	761
851	4353	756
852	4358	751
853	4363	746
854	4368	740
855	4372	735
856	4377	730
857	4382	725
858	4386	720
859	4391	714
860	4395	709
861	4400	704
862	4405	699
863	4410	694
864	4414	689
865	4419	683
866	4424	678
867	4430	673
868	4436	668
869	4442	663
870	4446	658
871	4450	653
872	4456	648
873	4461	643
874	4466	638
875	4470	632
876	4476	627
877	4480	622
878	4485	617
879	4489	612
880	4494	607
881	4500	602
882	4505	596
883	4510	591
884	4515	586
885	4520	581
886	4525	576
887	4529	571
888	4535	566
889	4540	561
890	4546	556
891	4551	551
892	4555	545
893	4560	540
894	4564	535
895	4569	530
896	4573	525
897	4578	520
898	4582	514
899	4587	509
900	4592	504
901	4597	499
902	4605	494
903	4610	489
904	4615	484
905	4621	479
906	4627	474
907	4633	469
908	4639	464
909	4646	459
910	4652	454
911	4657	449
912	4663	444
913	4670	439
914	4679	434
915	4688	429
916	4695	425
917	4700	419
918	4706	414
919	4711	409
920	4719	404
921	4729	400
922	4738	395
923	4745	390
924	4750	385
925	4754	379
926	4759	374
927	4764	369
928	4769	364
929	4774	359
930	4779	354
931	4785	349
932	4790	344
933	4796	338
934	4801	333
935	4807	328
936	4813	323
937	4819	318
938	4825	313
939	4833	308
940	4842	303
941	4848	298
942	4856	293
943	4862	288
944	4869	283
945	4874	278
946	4879	273
947	4884	267
948	4888	262
949	4893	257
950	4898	252
951	4903	247
952	4908	242
953	4912	236
954	4916	231
955	4922	226
956	4927	221
957	4932	216
958	4936	211
959	4941	205
960	4946	200
961	4950	195
962	4955	190
963	4960	185
964	4964	180
965	4969	174
966	4973	169
967	4979	164
968	4983	159
969	4988	154
970	4993	149
971	4997	143
972	5002	138
973	5007	133
974	5011	128
975	5016	123
976	5021	118
977	5025	113
978	5029	107
979	5033	102
980	5038	97
981	5043	92
982	5047	87
983	5051	82
984	5056	76
985	5061	71
986	5066	66
987	5071	61
988	5075	56
989	5080	51
990	5084	46
991	5088	41
992	5092	35
993	5097	30
994	5112	25
995	5117	20
996	5122	15
997	5128	10
998	5136	5
999	5141	0
