iter	Logloss
0	0.6629112244
1	0.6363562441
2	0.6124719429
3	0.5898859978
4	0.5739922714
5	0.5547170258
6	0.5383048058
7	0.5233000183
8	0.5113827705
9	0.4981614399
10	0.4864846325
11	0.4786226273
12	0.4684315443
13	0.4600672388
14	0.4514698362
15	0.447176404
16	0.4398632288
17	0.4328617907
18	0.427860384
19	0.4221331263
20	0.4173060322
21	0.4126428556
22	0.4086379004
23	0.404054966
24	0.3993706036
25	0.3951745462
26	0.3922499704
27	0.3891050291
28	0.3861322212
29	0.383217082
30	0.3820243835
31	0.3801717901
32	0.3791340542
33	0.3771933317
34	0.3752148294
35	0.3732966375
36	0.3717416382
37	0.3708634996
38	0.3688547754
39	0.3677534389
40	0.3652991581
41	0.3646035147
42	0.3626043987
43	0.36132267
44	0.3600068951
45	0.3586589146
46	0.357729435
47	0.3565014553
48	0.3558575439
49	0.3542401123
50	0.3533718443
51	0.3524868345
52	0.3519245625
53	0.3513539505
54	0.3500414753
55	0.3489191961
56	0.34769135
57	0.3472903776
58	0.3468634033
59	0.3465035868
60	0.3461786509
61	0.3458538914
62	0.3454265738
63	0.345153265
64	0.3448521662
65	0.3445360279
66	0.3441964483
67	0.3439528847
68	0.3431042099
69	0.3427991772
70	0.3425961113
71	0.3423228788
72	0.3412056875
73	0.3409413671
74	0.3407023621
75	0.3399942636
76	0.3396802044
77	0.3389010429
78	0.3386248207
79	0.3383405352
80	0.3380080366
81	0.3371012306
82	0.3368364716
83	0.3365845585
84	0.3363982153
85	0.3361319685
86	0.3358585548
87	0.3356563473
88	0.3353662872
89	0.3351193333
90	0.3348752165
91	0.3347186995
92	0.3344180107
93	0.3341770267
94	0.3339737701
95	0.3337575436
96	0.3333233976
97	0.333008337
98	0.332792058
99	0.3326213837
100	0.3323335218
101	0.3321474457
102	0.3319611073
103	0.3317341495
104	0.3311697006
105	0.3310251427
106	0.3303900123
107	0.3301970363
108	0.330058322
109	0.3298498106
110	0.3296423459
111	0.3294914341
112	0.3292922068
113	0.3290836835
114	0.3288886786
115	0.3287145638
116	0.3285071468
117	0.3283797765
118	0.3282162189
119	0.3276861048
120	0.3275058079
121	0.3273435545
122	0.3272421074
123	0.3270942187
124	0.3268250942
125	0.3266880941
126	0.3265281057
127	0.3263586497
128	0.3261621261
129	0.3259733844
130	0.3257632875
131	0.3255937529
132	0.3254266405
133	0.325268023
134	0.3250123262
135	0.3249076366
136	0.3247300911
137	0.3245348978
138	0.324409771
139	0.3241717792
140	0.3239339423
141	0.3237542892
142	0.3234542513
143	0.3232223415
144	0.3228380394
145	0.3227086878
146	0.3225088787
147	0.3223460507
148	0.3219542694
149	0.3218077183
150	0.3216693783
151	0.3215780258
152	0.3214262366
153	0.3212463069
154	0.3210989285
155	0.3209201336
156	0.320734117
157	0.3205902433
158	0.3204261756
159	0.3202346039
160	0.3200506091
161	0.3198842263
162	0.3197303319
163	0.3195248127
164	0.3192986345
165	0.31912503
166	0.3189757252
167	0.3187403488
168	0.3186133885
169	0.3183392382
170	0.3181978869
171	0.3180893493
172	0.3179819298
173	0.3178248525
174	0.3177281928
175	0.3175103426
176	0.3173553181
177	0.3172080088
178	0.3169811416
179	0.3168290663
180	0.3167149043
181	0.3164957237
182	0.3163876748
183	0.3163205934
184	0.316137414
185	0.3160174465
186	0.3158861876
187	0.3157775211
188	0.3156299067
189	0.315487895
190	0.3153263474
191	0.3151178932
192	0.3149856925
193	0.3148419118
194	0.314742136
195	0.314590013
196	0.314481616
197	0.3140676045
198	0.3139076233
199	0.3137952757
200	0.3136486673
201	0.3134535146
202	0.3133432603
203	0.3128503871
204	0.3126772738
205	0.3125324392
206	0.3120193172
207	0.3118439293
208	0.3116004252
209	0.311450026
210	0.3112834239
211	0.3111264133
212	0.3109940124
213	0.3107840633
214	0.3105742383
215	0.3104317451
216	0.3102464914
217	0.3100802612
218	0.3099354529
219	0.3098179221
220	0.3096732211
221	0.3095831394
222	0.3093740869
223	0.3088541317
224	0.3086942196
225	0.3085611796
226	0.3083496785
227	0.3082342815
228	0.3081362104
229	0.3080147982
230	0.3078447962
231	0.3076847219
232	0.3075726366
233	0.3073915315
234	0.3072420359
235	0.3070201325
236	0.306838975
237	0.3067480779
238	0.3066169858
239	0.3064617395
240	0.3063047743
241	0.3061676955
242	0.3060110331
243	0.3058637142
244	0.3056788063
245	0.3055927444
246	0.3054706049
247	0.30535146
248	0.3051471567
249	0.3050265026
250	0.3049010801
251	0.3047521281
252	0.3046699643
253	0.3045108366
254	0.3043928719
255	0.3042220926
256	0.3040871787
257	0.3039392543
258	0.3038020825
259	0.303655026
260	0.3035447478
261	0.3033898497
262	0.3032545161
263	0.303090632
264	0.3029291058
265	0.3028141117
266	0.3025825429
267	0.3025008798
268	0.3023690224
269	0.3022278857
270	0.3020521116
271	0.3018096352
272	0.3016841626
273	0.301567359
274	0.301473639
275	0.3013115811
276	0.3011311817
277	0.3010181165
278	0.3008964252
279	0.3007840943
280	0.3002811027
281	0.3001530671
282	0.3000038743
283	0.2998520708
284	0.2996811914
285	0.2995583344
286	0.2994077659
287	0.2993056202
288	0.2991420269
289	0.2990551901
290	0.2988427019
291	0.2987341881
292	0.298582201
293	0.2984522486
294	0.2983222842
295	0.2981997347
296	0.2980708861
297	0.2979384828
298	0.2978345394
299	0.2976611733
300	0.2975175118
301	0.2974342489
302	0.2972557187
303	0.2971596861
304	0.2970158768
305	0.2968382454
306	0.2967240381
307	0.2965651512
308	0.2964537311
309	0.2962965631
310	0.2961806679
311	0.2960722303
312	0.2958063388
313	0.2957039642
314	0.2955379653
315	0.2953607702
316	0.2951610422
317	0.2950307107
318	0.2949097371
319	0.2947715974
320	0.294637816
321	0.2941963887
322	0.2940267873
323	0.2938942981
324	0.2937195086
325	0.2935702109
326	0.293421092
327	0.293295753
328	0.2931581879
329	0.293050375
330	0.2929138541
331	0.2927912617
332	0.2925837612
333	0.2921657491
334	0.2920780659
335	0.2918784356
336	0.2917400599
337	0.2916329551
338	0.2915186834
339	0.2913995719
340	0.2913018322
341	0.2911600137
342	0.2910236144
343	0.2908640456
344	0.2906608534
345	0.2904963279
346	0.2903225899
347	0.290201745
348	0.2898773932
349	0.2896891141
350	0.2895486832
351	0.2893917632
352	0.2892492795
353	0.288818686
354	0.2886800098
355	0.2885587764
356	0.2883998346
357	0.2882411718
358	0.2881163335
359	0.2879677939
360	0.2877860117
361	0.2876488805
362	0.2875202107
363	0.2873842144
364	0.2871745491
365	0.2870887351
366	0.286930995
367	0.2867939401
368	0.2866202974
369	0.286485846
370	0.2860217309
371	0.2858528256
372	0.2856876588
373	0.2855495524
374	0.2853190899
375	0.2851786804
376	0.2850321746
377	0.2848081684
378	0.2846638131
379	0.2845593715
380	0.2844496512
381	0.2843265009
382	0.2841805696
383	0.2840592837
384	0.2839004207
385	0.2837277341
386	0.2835791707
387	0.2834272242
388	0.2832885695
389	0.2831537795
390	0.2830091691
391	0.2828445673
392	0.2826904249
393	0.2825525379
394	0.2823941517
395	0.2822167611
396	0.2821075535
397	0.2819534063
398	0.2817908454
399	0.2816794014
400	0.2814918661
401	0.2813041592
402	0.2811420894
403	0.2810099578
404	0.2808528233
405	0.2807299066
406	0.2806012082
407	0.2803886962
408	0.2802130032
409	0.2800450659
410	0.2798653984
411	0.2797279906
412	0.2795973492
413	0.2794703841
414	0.2793190885
415	0.2791597819
416	0.2790186405
417	0.2788601542
418	0.2787110734
419	0.2785951376
420	0.2784826159
421	0.278248744
422	0.278103621
423	0.2778794503
424	0.2777707314
425	0.2776477838
426	0.2774877715
427	0.2773386168
428	0.2771778631
429	0.2769728613
430	0.2768106818
431	0.2766743112
432	0.2765232301
433	0.2763281894
434	0.2761934733
435	0.2760953999
436	0.275915606
437	0.2758060646
438	0.2756849957
439	0.2755689073
440	0.2754080296
441	0.2752893853
442	0.2750862336
443	0.2749508286
444	0.2747545528
445	0.2745371103
446	0.2743979239
447	0.2742476392
448	0.2740246463
